,연극명,기간,장소,개막일,폐막일,오픈런
1,앙리할아버지와 나 - 서울,20.12.03.~21.02.14.,예스24스테이지 1관,2020-12-03,2021-02-14,False
2,한뼘사이,17.03.01.~오픈런,서연아트홀,2017-03-01,2050-01-01,True
3,<연극열전8> 네 번째 작품 <킹스 스피치>,20.11.28.~21.02.07.,대학로아트원씨어터 2관,2020-11-28,2021-02-07,False
4,올모스트메인,20.12.25.~21.02.14.,대학로티오엠,2020-12-25,2021-02-14,False
5,얼음,21.01.08.~21.03.21.,세종문화회관 S씨어터,2021-01-08,2021-03-21,False
6,오마이갓,17.07.01.~오픈런,봄날아트홀 2관,2017-07-01,2050-01-01,True
7,비프,20.12.05.~21.02.14.,드림아트센터 3관,2020-12-05,2021-02-14,False
8,음악극 [올드위키드송],20.12.08.~21.02.14.,예스24스테이지 3관,2020-12-08,2021-02-14,False
9,쉬어매드니스,15.11.12.~오픈런,콘텐츠박스,2015-11-12,2050-01-01,True
10,핫식스,18.08.02.~오픈런,대학로 키득키득아트홀,2018-08-02,2050-01-01,True
11,옥탑방 고양이 - 서울,10.04.06.~오픈런,틴틴홀,2010-04-06,2050-01-01,True
12,오백에 삼십,18.09.04.~오픈런,대학로 아트포레스트 1관,2018-09-04,2050-01-01,True
13,나의 PS 파트너,18.03.08.~오픈런,대학로 마루아트홀,2018-03-08,2050-01-01,True
14,너의 목소리가 들려,18.12.06.~오픈런,봄날아트홀,2018-12-06,2050-01-01,True
15,택시 안에서,18.10.12.~오픈런,해바라기 소극장,2018-10-12,2050-01-01,True
16,에볼루션 오브 러브,21.01.08.~21.01.17.,대학로예술극장 소극장,2021-01-08,2021-01-17,False
17,아날로그 정통 체력극 <신바람 난 삼대>,20.12.23.~21.03.01.,대학로아트포레스트2관,2020-12-23,2021-03-01,False
18,오 나의 귀신님 - 서울,19.01.10.~오픈런,대학로 낙산씨어터,2019-01-10,2050-01-01,True
19,연극 라면,20.04.04.~오픈런,해피시어터,2020-04-04,2050-01-01,True
20,늘근도둑 이야기 - 서울,17.11.08.~오픈런,대학로 유니플렉스 3관,2017-11-08,2050-01-01,True
21,크리미널,16.09.06.~21.01.31.,봄날아트홀,2016-09-06,2021-01-31,False
22,고도,21.01.05.~21.01.13.,동숭무대소극장,2021-01-05,2021-01-13,False
23,외경,21.01.06.~21.01.24.,여행자극장,2021-01-06,2021-01-24,False
24,블랙도어,21.01.07.~21.01.10.,극장 봄,2021-01-07,2021-01-10,False
25,공포연극 <자취>,20.02.28.~오픈런,댕로홀,2020-02-28,2050-01-01,True
26,택시 안에서 - 부산,19.03.01.~오픈런,부산 해바라기 소극장,2019-03-01,2050-01-01,True
27,연애하기 좋은 날 - 서울,19.10.03.~오픈런,아티스탄홀,2019-10-03,2050-01-01,True
28,SIGN - 대구,21.01.08.~21.01.10.,소극장 길,2021-01-08,2021-01-10,False
29,너에게로 또 다시 - 광주,20.11.11.~21.01.10.,상무지구 기분좋은극장,2020-11-11,2021-01-10,False
30,러브앤전쟁,20.12.11.~21.02.28.,두레홀,2020-12-11,2021-02-28,False
31,사춘기 메들리,18.03.10.~오픈런,아티스탄홀,2018-03-10,2050-01-01,True
32,진짜사랑이야기 연극 러브액츄얼리 - 창원,20.12.24.~21.03.01.,창원축제소극장,2020-12-24,2021-03-01,False
33,벙어리장갑 - 부산,21.01.08.~21.01.17.,초콜릿팩토리,2021-01-08,2021-01-17,False
34,보잉보잉,18.11.01.~오픈런,대학로 두레홀,2018-11-01,2050-01-01,True
35,코미디의맛/홍콩쇼/쇼미더퍼니,15.12.05.~오픈런,윤형빈소극장,2015-12-05,2050-01-01,True
36,멈춰진 계절,19.06.04.~오픈런,달밤엔씨어터,2019-06-04,2050-01-01,True
37,졸탄쇼,20.04.29.~오픈런,졸탄극장,2020-04-29,2050-01-01,True
38,두 여자,15.01.09.~오픈런,라이프씨어터,2015-01-09,2050-01-01,True
39,당신이 주인공,09.09.04.~오픈런,홍대 김대범 소극장,2009-09-04,2050-01-01,True
40,작업의 정석 - 서울 대학로,12.06.29.~오픈런,대학로연극순위아트홀1관,2012-06-29,2050-01-01,True
41,시크릿,09.01.23.~오픈런,탑아트홀,2009-01-23,2050-01-01,True
42,죽여주는 이야기,08.10.01.~오픈런,삼형제극장,2008-10-01,2050-01-01,True
43,위저드 베이커리,16.09.06.~오픈런,대학로 울씨어터,2016-09-06,2050-01-01,True
